Recipe ID,Products,Energy (kcal),Carbs (g),Protein (g),Fat (g),Preparation Time (min),Type of Preparation,Taste Rating,Shelf Time (days)
R-141,"Cornstarch(114 gr),Ricotta Cheese(186 ml),Egg Noodles(179 ml),Cream of Tartar(136 gr),Ice Cream(156 ml),Gruyere Cheese(157 gr)",367.87,63.46,29.61,16.5,34,Grilling,9,3
R-142,"Spelt(82 ml),Buckwheat(122 ml),Cilantro(75 ml),Barley(90 ml),Unflavored Gelatin(88 gr)",199.0,34.83,30.82,25.85,37,Baking,7,1
R-143,"Truffle Oil(164 ml),Grated Parmesan(176 gr),Saffron Threads(112 gr),Parsley(184 ml),Mozzarella Cheese(191 gr),Cilantro Seeds(156 gr),Halloumi Cheese(61 gr)",156.47,32.32,15.79,24.41,30,Frying,7,5
R-144!,"Pistachios(160 gr),Pepper Jack Cheese(164 gr),Pesto Sauce(177 ml),Pickled Ginger(68 ml),Pine Nuts(199 gr),Pink Peppercorns(102 gr)",116.34,36.18,34.76,22.42,25,Baking,1,3
R-145!,"Pecans(194 gr),Pineapple Chunks(179 ml),Pepitas(150 gr)",417.74,61.51,14.11,27.39,21,Grilling,9,3
R-146!,"Pickled Beets(98 ml),Pine Nuts(125 gr),Plum Sauce(108 ml)",286.43,60.06,10.01,29.63,59,Baking,5,5
R-147,"Wonton Wrappers(65 pieces),Coleslaw Mix(85 ml),Cornflour(66 gr),Lemon Balm(122 ml),Rosemary Sprigs(68 pieces),Jalapeno Pepper(97 pieces)",381.38,42.36,18.86,17.3,29,Grilling,9,3
R-148!,"Pickled Beets(66 ml),Pepper Jack Cheese(52 gr),Pecans(166 gr),Pink Peppercorns(139 gr),Pepitas(166 gr),Pineapple Chunks(86 ml),Pesto Sauce(145 ml)",219.55,38.62,11.19,12.63,31,Baking,5,4
R-149!,"Pistachios(85 gr),Pepitas(175 gr),Plantains(182 pieces)",256.76,65.0,35.83,6.12,60,Frying,6,5
R-150!,"Pine Nuts(66 gr),Plantains(173 pieces),Pecans(178 gr)",265.35,40.58,12.0,23.62,49,Baking,3,2
R-151!,"Pickled Ginger(50 ml),Plum Sauce(104 ml),Pecans(125 gr),Pesto Sauce(185 ml),Pickled Beets(170 ml),Pineapple Chunks(171 ml),Plantains(88 pieces)",115.35,21.37,28.75,27.17,47,Frying,8,1
R-152!,"Pineapple Chunks(188 ml),Pistachios(156 gr),Pepitas(105 gr),Pickled Ginger(78 ml),Pecans(115 gr),Pesto Sauce(126 ml),Pine Nuts(156 gr)",348.95,51.95,35.82,9.04,28,Baking,5,1
R-153!,"Pickled Beets(172 ml),Pineapple Chunks(155 ml),Plantains(168 pieces),Pepitas(53 gr),Pickled Ginger(176 ml)",377.72,43.85,34.61,15.9,16,Baking,2,4
R-154,"Sunflower Seeds(56 gr),Sumac(102 gr),Italian Bread(149 pieces),Red Bell Pepper(182 pieces)",178.64,53.48,13.33,29.31,51,Grilling,6,5
R-155!,"Pine Nuts(142 gr),Pepitas(113 gr),Pistachios(66 gr),Pecans(63 gr),Pineapple Chunks(119 ml)",161.66,36.23,16.58,18.0,58,Grilling,2,3
R-156,"Allspice Berries(51 gr),Italian Sausage(184 gr),Jasmine Tea(170 gr),Gruyere Cheese(125 gr),Ghee Butter(98 ml)",166.12,35.39,37.3,29.88,32,Baking,10,1
R-157,"Black Vinegar(81 ml),Pineapple Juice(118 ml),Chili Garlic Sauce(86 ml),Lemongrass Stalks(118 pieces)",244.61,36.14,22.86,14.71,18,Frying,7,4
R-158,"Crabmeat(162 gr),Couscous(167 ml),Za’atar(168 gr),Cashew Nuts(101 gr)",130.01,34.27,33.94,22.9,53,Cooking,9,4
R-159!,"Pickled Ginger(95 ml),Pepitas(101 gr),Pine Nuts(159 gr)",435.34,59.02,12.99,19.48,33,Grilling,7,3
R-160,"Espresso Beans(123 gr),Sunflower Seeds(159 gr),Chicken Breasts(118 pieces),Nori(172 gr)",314.6,53.13,17.74,7.55,25,Baking,6,2
R-161,"Nori Sheets(177 pieces),Watercress(71 ml),Longan(84 pieces),Manchego Cheese(149 gr),Red Onion(191 pieces)",351.5,26.0,10.5,29.34,11,Frying,5,1
R-162,"Cashew Milk(89 ml),Provolone Cheese(101 gr),Dulce de Leche(148 ml),Buffalo Mozzarella(144 gr)",260.13,33.23,25.97,23.25,35,Grilling,7,4
R-163,"Feta Cheese(164 gr),Dried Cranberries(74 gr),Heavy Cream(168 ml),Tamales(136 pieces),Coconut Milk(162 ml)",177.72,30.99,22.2,21.77,44,Grilling,7,1
R-164,"Shea Butter(76 ml),Dried Cranberries(57 gr),Chickpea Flour(78 gr),Arborio Rice(116 ml),Coconut Butter(139 ml),Maraschino Cherries(166 ml)",253.31,52.74,15.24,26.43,19,Cooking,1,2
R-165,"Corn Tortillas(197 pieces),Rice(118 ml),Mullet Roe(179 gr),Turkish Delight(141 gr),Vegetable Oil(180 ml),Angelica Root(187 gr),Naan Bread(143 pieces)",221.55,26.85,33.82,11.14,51,Baking,8,5
R-166!,"Pickled Beets(165 ml),Pine Nuts(70 gr),Pesto Sauce(132 ml),Plantains(89 pieces)",275.91,42.38,35.88,29.49,24,Baking,7,5
R-167,"Kale(197 ml),Cranberry Juice(187 ml),Macadamia Nuts(77 gr)",288.31,61.43,32.68,15.14,48,Frying,2,1
R-168,"Hubbard Squash(80 pieces),Dates(194 gr),Celeriac(152 pieces),Red Beans(188 ml),Farro(137 ml)",389.03,54.96,11.89,8.08,10,Grilling,6,5
R-169,"Bell Peppers(83 pieces),Parsley(63 ml),Coffee Beans(191 gr),Flatbread(172 pieces)",400.65,43.15,39.55,23.93,15,Frying,8,3
R-170,"Fermented Black Beans(62 gr),Rye Bread(66 pieces),Endive(149 ml)",161.37,53.66,21.16,25.92,15,Cooking,3,4
R-171!,"Pine Nuts(126 gr),Pecans(98 gr),Plum Sauce(193 ml),Plantains(110 pieces),Pickled Beets(145 ml),Pink Peppercorns(83 gr)",230.21,39.15,26.06,16.71,45,Cooking,7,3
R-172!,"Pine Nuts(187 gr),Pesto Sauce(152 ml),Pepitas(134 gr),Pistachios(163 gr),Pink Peppercorns(147 gr),Pickled Ginger(105 ml),Pickled Beets(77 ml)",409.64,32.24,35.8,26.32,26,Frying,7,4
R-173!,"Plum Sauce(111 ml),Pink Peppercorns(60 gr),Pecans(177 gr),Pickled Ginger(182 ml)",396.55,46.13,34.27,28.38,19,Cooking,7,4
R-174!,"Pecans(94 gr),Pesto Sauce(157 ml),Pickled Beets(191 ml),Pepitas(169 gr),Pistachios(76 gr),Plum Sauce(61 ml),Pickled Ginger(107 ml)",125.53,22.69,10.32,8.19,13,Baking,1,5
R-175!,"Plantains(173 pieces),Plum Sauce(112 ml),Pecans(107 gr)",252.94,20.81,23.56,13.1,21,Grilling,1,5
R-176,"Coconut Oil(150 ml),Vegetable Shortening(144 ml),Celeriac(53 pieces),Palm Sugar(200 gr),Colby Cheese(120 gr)",161.49,20.86,16.58,27.39,49,Baking,6,2
R-177!,"Plum Sauce(107 ml),Pepper Jack Cheese(165 gr),Pistachios(68 gr),Plantains(81 pieces)",385.01,62.45,24.47,10.6,60,Grilling,3,4
R-178!,"Pistachios(126 gr),Pink Peppercorns(148 gr),Plum Sauce(74 ml),Pickled Ginger(180 ml)",301.49,64.61,30.85,5.34,45,Grilling,1,5
R-179!,"Pickled Ginger(99 ml),Pistachios(120 gr),Pickled Beets(96 ml)",241.08,27.01,31.04,29.19,40,Cooking,6,3
R-180!,"Pink Peppercorns(121 gr),Pine Nuts(76 gr),Plantains(146 pieces),Pickled Ginger(200 ml),Pepitas(110 gr),Pickled Beets(133 ml)",411.66,64.76,37.69,24.58,12,Baking,9,3
R-181,"Croutons(94 gr),Mango Puree(138 ml),Cabbage(159 ml),Ice Cream(77 ml),Chicken Broth(151 ml)",248.62,47.44,30.1,25.78,13,Frying,9,4
R-182,"Chicken Thighs(71 pieces),Angelica Root(140 gr),Dried Tarragon(131 gr),Portobello Mushrooms(188 ml)",248.07,40.1,29.67,23.0,47,Cooking,7,2
R-183!,"Pesto Sauce(102 ml),Pickled Ginger(128 ml),Pink Peppercorns(125 gr),Pickled Beets(77 ml),Plantains(167 pieces)",480.36,34.83,38.23,15.5,59,Baking,3,2
R-184!,"Pepper Jack Cheese(66 gr),Pickled Ginger(199 ml),Pesto Sauce(168 ml),Plum Sauce(60 ml)",306.99,28.41,23.61,13.21,18,Grilling,9,2
R-185!,"Pine Nuts(95 gr),Plum Sauce(143 ml),Pineapple Chunks(171 ml),Pecans(150 gr)",302.91,53.25,13.12,8.92,24,Baking,8,5
R-186!,"Pesto Sauce(87 ml),Pink Peppercorns(107 gr),Pepper Jack Cheese(117 gr),Plantains(190 pieces),Pineapple Chunks(100 ml)",310.39,66.1,17.04,7.04,44,Grilling,4,5
R-187,"Lotus Root(88 ml),Halva(152 gr),Black Olives(187 ml),Turbinado Sugar(149 gr),Lentils(94 ml),Cantaloupe(197 pieces),Heavy Whipping Cream(104 ml)",338.73,47.82,37.0,28.67,20,Grilling,1,1
R-188,"Coconut Milk(135 ml),Kale(123 ml),Turbinado Sugar(116 gr),Broccoli Florets(72 ml),Rainbow Chard(180 ml)",147.29,23.91,34.37,21.42,38,Baking,6,3
R-189,"Tortilla Chips(176 gr),Blackberry(72 ml),Cream Cheese Frosting(77 ml),Artichoke Hearts(108 ml),Celery(144 ml)",140.8,34.22,11.49,22.16,45,Grilling,4,3
R-190!,"Pickled Beets(187 ml),Pickled Ginger(136 ml),Pink Peppercorns(55 gr),Pepper Jack Cheese(159 gr),Pesto Sauce(78 ml)",305.49,44.22,20.54,19.16,20,Baking,7,1
R-191!,"Pickled Ginger(107 ml),Pineapple Chunks(102 ml),Plantains(70 pieces)",364.13,69.11,10.82,13.4,34,Baking,1,5
R-192,"Tarragon Vinegar(177 ml),Fruit(59 ml),Mung Beans(88 ml),Oregano(66 ml),Pineapple Chunks(116 pieces)",350.3,62.32,32.76,14.18,54,Baking,5,4
R-193!,"Pineapple Chunks(124 ml),Pickled Beets(133 ml),Pecans(151 gr),Pistachios(60 gr)",413.64,45.47,37.3,10.55,30,Grilling,10,5
R-194!,"Plum Sauce(146 ml),Plantains(80 pieces),Pine Nuts(115 gr),Pineapple Chunks(92 ml),Pepper Jack Cheese(185 gr),Pickled Beets(97 ml)",126.14,41.14,22.75,10.31,47,Frying,4,4
R-195,"Duck Breast(196 gr),Gochujang(184 ml),Millet(199 ml),Orange Juice(64 ml),Dried Shrimp(70 gr),Dried Goji Berries(90 gr),Tapioca Flour(96 gr)",418.4,63.08,33.08,29.43,25,Cooking,5,2
R-196!,"Pistachios(77 gr),Pepper Jack Cheese(51 gr),Pepitas(147 gr),Plum Sauce(143 ml),Pineapple Chunks(162 ml)",389.56,65.72,24.19,28.78,19,Frying,2,3
R-197!,"Pickled Ginger(178 ml),Plum Sauce(94 ml),Pepitas(55 gr),Pistachios(190 gr)",141.13,31.79,20.06,12.84,27,Frying,7,4
R-198,"Whole Wheat Flour(88 gr),Fregola(72 ml),Limoncello(103 ml)",233.83,29.48,33.47,15.05,42,Baking,9,4
R-199,"Brown Butter(94 ml),Fruit Pectin(87 gr),Green Beans(93 ml),Molasses(185 ml),Ranch Dressing(131 ml)",324.32,64.21,38.71,21.78,57,Cooking,1,2
R-200!,"Pickled Ginger(178 ml),Pine Nuts(192 gr),Pepper Jack Cheese(88 gr),Pineapple Chunks(139 ml),Plum Sauce(136 ml)",186.86,61.09,24.21,25.77,16,Cooking,3,5
