Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
crock pot swedish y meatballs,343101,270,"[217.4, 17.0, 6.0, 33.0, 37.0, 20.0, 3.0]",6,"['in bowl , combine breadcrumbs , beef , yolks , 2 tablespoons parsley , onion , salt , mustard , ginger , garlic , and pepper', 'with wet hands , roll heaping tablespoons of meat mixture into balls , about 60', 'place in crock pot', 'in bowl , mix together onion soup mix , cream of mushroom soup , chicken broth , flour , and 2 tablespoons parsley', 'pour over meatballs', 'cook on high until cooked through']","variation of crock pot swedish meatballs, recipe #103501 by mindi bunch.  i changed the recipe to suit what i had on hand and my picky family liked it - i'm jotting down the variations so i can duplicate it.  can serve over noodles, rice or potatoes.  you can taste the ginger - if you're not a fan of ginger, cut back on the amount or eliminate it.","['italian seasoned breadcrumbs', 'lean ground beef', 'egg yolks', 'dried parsley', 'dried onion flakes', 'salt', 'mustard powder', 'ground ginger', 'garlic powder', 'ground black pepper', 'lipton onion soup mix', 'chicken broth', 'cream of mushroom soup', 'all-purpose flour']",14,3,28
root vegetable gratin,358182,50,"[440.8, 27.0, 27.0, 23.0, 21.0, 55.0, 20.0]",12,"['preheat oven to 375', 'spread butter in pan', 'if using 9x13 pan just increase the amount of veggies', 'lay vegetables in pan and set aside', 'warm cream and broth in pan', 'season to taste', 'pour over vegetables', 'bake for 35 minutes and sprinkle with cheese when veggies are warm out of oven', 'variations: nutmeg , thyme , or rosemary are great flavors to add', 'try adding any other of the root veggies', 'beets , rutabagas , leeks , or celery root', 'saute the greens attached if you have them and add to the dish before cooking']",this recipe is from the wsu extension office.,"['butter', 'potatoes', 'carrot', 'onion', 'sweet potato', 'parsnip', 'broth', 'cream', 'parmesan cheese', 'italian seasoning', 'garlic clove']",11,8,9
crispy thai omlet,505813,10,"[273.9, 35.0, 4.0, 15.0, 26.0, 24.0, 1.0]",9,"['thinly slice the green onions', 'in a bowl , mix together the eggs and fish sauce until frothy', 'add the green onions and stir', 'heat the oil in a small nonstick skillet over medium heat until very hot', 'pour in the egg mixture and cook until browned and crispy on one side , 1-2 minutes', 'flip and cook until the other side is browned but the inside is still soft , 1-2 minutes', 'optional add-ins: ground chicken or pork , shallots , chopped cilantro or other fresh herb', 'serve with sticky rice and / or stir fried veggies', 'top with chilli sauce']","a thai-style omelet (kai jeow) is browned and crispy, it's quite different from a french omelet, especially thanks to the punch of umami from its essential ingredient: fish sauce! see note at bottom about additional add ins and serving suggestions.","['eggs', 'fish sauce', 'green onions', 'vegetable oil']",4,5,25
stwnsh rwadan   welsh mash,427722,20,"[255.6, 25.0, 15.0, 7.0, 6.0, 51.0, 8.0]",2,"['steam or boil each vegetable separately', 'mash each vegetable , and then mix gently together with butter , salt , pepper and nutmeg']","my welsh nana always said to cook and mash each vegetable separately, then gently blend them and add the butter and seasoning.","['potatoes', 'carrots', 'swedes', 'butter', 'nutmeg', 'salt & pepper']",6,9,10
matcha  green tea  shortbread cookies,112897,63,"[46.2, 4.0, 3.0, 1.0, 0.0, 9.0, 1.0]",10,"['sift the flour , powdered tea and salt into a bowl', 'in a mixer bowl , beat butter and powdered sugar until fluffy', 'add flour mixture to mixer bowl and mix slowly until dough just comes together', 'pull dough together carefully in a log , approximately 2 inches in diameter', 'wrap dough log and place in freezer for 30 minutes or until dough has firmed to the touch', 'slice dough into 1 / 4 inch rounds and place on a parchment or silpat lined cookie sheet , approximately 1 inch apart', 'bake in a preheated 325 degree f oven for 16 to 18 minutes , turning the pan halfway through the baking time', 'remove cookies immediately from the cookie sheet and cool on a wire rack', 'store in an airtight container or wrap well and freeze', 'the well-chilled cookie dough can also be rolled out and cut into desired shapes before baking']","i love the flavor of green tea powder in baked european-style sweets. lately, i've been searching for a few recipes and found this one on the internet. typically, i use a really good quality green tea (from toraya), but even i find the green tea flavor to be too intense, so i use the lesser amount of green tea and increase the amount of powdered sugar. for less expensive grades of tea, i just use the greater amount of tea. you can purchase green tea powder at the japanese grocers, but it will come in a variety of grades. the lower grades will use dried spinach to boost the color, but the tea flavor will not be as intense. the cookies are bright green (like the color of spring grass); they smell lovely, but have a bitter edge to them because of the green tea. it's typically an ","['bleached all purpose flour', 'green tea powder', 'salt', 'butter', 'powdered sugar']",5,1,6
mediterranean   basil pasta,357153,35,"[432.3, 14.0, 57.0, 2.0, 28.0, 8.0, 25.0]",8,"['to roast the veg , preheat the oven to 400f scatter the peppers , red onions , chilis and garlic in a large roasting tin', 'sprinkle with sugar , drizzle over the oil and season well with salt and pepper', 'roast for 15 minutes , toss in the tomatoes and roast for another 15 minutes until everything is starting to soften and look golden', 'while the vegetables are roasting , cook the pasta in a large pan of salted boiling water according to packet instructions , until tender but still with a bit of bite', 'drain well', 'remove the vegetables from the oven ,', 'tear the basil leaves on top and sprinkle with parmesan to serve', 'if you have any leftovers it makes a great cold pasta salad - just moisten with extra olive oil if needed']",this easy and healthy vegetarian pasta is perfect for a midweek meal.,"['red peppers', 'red onions', 'red chili peppers', 'garlic cloves', 'superfine sugar', 'salt and pepper', 'olive oil', 'tomatoes', 'pasta', 'basil leaves', 'parmesan cheese']",11,1,23
easy cinnamon roll waffles,506072,20,"[119.3, 0.0, 106.0, 0.0, 1.0, 1.0, 9.0]",10,"['preheat your waffle iron', 'open cinnamon rolls and remove frosting', 'in small bowl , whisk together frosting , milk , powdered sugar , & maple syrup until smooth', 'set aside', 'spray waffle iron with cooking spray', 'set cinnamon rolls on waffle iron and press down , cooking for approximately 4-5 minutes until cooked', 'you may have to press down on the iron during cooking if they start to puff up too much', 'you may need to spray again to prevent sticking after cooking several waffles', 'serve with glaze', 'be prepared for much thanks !']","the best thing about them (besides the utter yumminess) is that they are so easy. 
from living well spending less.","['cream cheese frosting', 'powdered sugar', 'milk', 'real maple syrup', 'cooking spray']",5,2,26
curried red lentil sweet potato soup,357618,40,"[418.7, 23.0, 10.0, 13.0, 38.0, 11.0, 17.0]",15,"['rinse the lentils in a strainer under cold running water', 'pick them over and discard any small stones', 'put the water and salt in a medium-sized sauce pan', 'bring to boil', 'add the rinsed lentils , reduce heat and cook , uncovered , for 20 minutes stirring occasionally', 'scoop off any excess foam on the top and discard', 'peel the sweet potatoes and dice into 1 / 2 inch pieces', 'add to lentils and continue cooking', 'dice the onions and and garlic', 'in a small skillet , heat the olive oil , onions , garlic and spices over low heat', 'cook and stir for 5 minutes or until the onions have become soft and translucent', 'add spice mix to the soup and continue to cook and occasionally stir until potatoes are tender , about 10 minutes', 'add more water if soup is too thick', ""reduce or don't add the garlic , onions and / or cayenne if you have a spice-sensitive kid"", ""and if your kid is picky on texture , you can put the soup in a blender and a few ice-cubes and serve 'smooth-style'""]","this is a tasty, healthy, and kid-friendly soup that is easy to make. it was inspired by ""vegetarian pleasures"" by jeanne lemlin.  see bottom of the directions for ways to improve on the kid-friendliness of this recipe.","['red lentils', 'water', 'sweet potato', 'sea salt', 'extra virgin olive oil', 'onion', 'garlic cloves', 'turmeric', 'cumin', 'coriander', 'cayenne pepper']",11,8,22
indian carrot bread,134335,75,"[111.5, 3.0, 18.0, 10.0, 4.0, 6.0, 6.0]",9,"['preheat oven to 350f', 'grease an 8-inch square pan', 'in a saucepan , over medium heat , bring carrots in water to a boil', 'boil until tender', 'remove from heat and add honey , brown sugar , butter , cornmeal , and milk', 'in a large bowl , combine flour , baking soda , baking powder , and salt', 'combine dry mixture with carrot mixture , then transfer to baking pan', 'bake until a cake tester insterted in middle comes out clean', 'serve hot with butter']",bread so moist it has to be eaten with a fork.,"['carrots', 'water', 'honey', 'brown sugar', 'butter', 'cornmeal', 'milk', 'bread flour', 'baking soda', 'baking powder', 'salt']",11,8,17
orange ginger asparagus,218962,15,"[149.5, 14.0, 33.0, 1.0, 9.0, 6.0, 4.0]",4,"['cook asparagus in a large frying pan of boiling salted water until crisp-tender , about 3 to 4 minutes , and drain well in a colander giving a cool rinse', 'transfer hot asparagus to serving platter', 'in a small bowl , whisk together orange marmalade , ginger , lemon juice , olive oil , salt and pepper to taste', 'spoon orange dressing over top or asparagus and sprinkle with nuts']","an easy asparagus dish that has a refreshing citrus and ginger addition.
 this is even better the next day! i just sliced the spears into 1/3's toss and served cold! a great salad!","['asparagus spears', 'orange marmalade', 'fresh ginger', 'garlic clove', 'fresh lemon juice', 'extra virgin olive oil', 'kosher salt', 'fresh ground black pepper', 'hazelnuts']",9,3,20
yogurt dessert,69417,65,"[464.8, 22.0, 248.0, 3.0, 11.0, 39.0, 26.0]",23,"['cake', 'preheat oven to 350 f', 'in a mixing bowl , add yogurt and beat with an electric mixer for 30 seconds', 'gradually beat in icing sugar , eggs , butter , flour and rind until batter is smooth , about 4 minutes', 'add baking powder and beat lightly , do not overbeat', 'prepare a 9"" x 13"" oven-proof casserole dish or baking pan by spraying with a vegetable oil', 'pour batter into prepared pan', 'bake in preheated 350 f oven for 40 to 45 minutes', 'test for doneness by inserting a wooden toothpick into center', 'should come out dry', 'syrup', 'about 20 minutes before cake is done , make the syrup', 'in a saucepan , combine sugar , water and lemon juice', 'bring to a boil , stirring until sugar is dissolved', 'reduce heat and simmer for about 10 minutes', 'remove from heat and keep hot', 'garnish', 'in a cold mixing bowl , add whipping cream and beat until cream starts to thicken', 'add vanilla extract and beat for 10 seconds', 'gradually add sugar and beat until cream is thickened', 'cut cake into serving pieces and place on individual dessert plates', 'pour hot syrup over each piece , set aside and let cool', 'to serve , sprinkle each piece with ground pistachio nuts , whipped cream and strawberries']",this is a fantastic turkish dessert to be remembered.,"['plain yogurt', 'icing sugar', 'eggs', 'butter', 'all-purpose flour', 'orange rind', 'baking powder', 'granulated sugar', 'water', 'lemon juice', 'heavy whipping cream', 'vanilla extract', 'pistachio nuts', 'fresh strawberries']",14,4,27
ye old pub grilled steak  english uk,151511,30,"[1074.9, 116.0, 94.0, 80.0, 143.0, 147.0, 8.0]",17,"['mix soy sauce and honey', ""it's basically a one to one ratio , but you can adjust for sweet verses salty preferences"", 'warm the mixture on the stove until the honey is incorporated into the soy sauce', 'keep warm until ready to brush on steaks', 'salt and pepper the steaks', 'i use coarse ground black pepper and kosher salt', 'place steaks on a hot grill', 'for great looking grill marks:', 'place the meet on the grill at a 45 degree angle for 1 / 2 the cooking time for the first side', 'turn 90 degrees for the remaining cooking time for the first side', 'turn the steak over , again at a 45 degree angle for the first half , then turn 90 degrees and finish cooking', 'you should end up with diamond shaped grill marks', 'when meat is almost ready to come off the grill , brush with the soy sauce / honey mixture', 'let it cook / sear on one side , then turn over and do the same to the other', 'repeat as necessary to get a noticable glaze on the meat', 'remove from heat and brush again', 'let meat stand for 15 min before serving']","years ago, i worked my way through college as a cook in a family owned pub/steak house in savannah ga.  this is a recipe for the searing sauce we would brush on the steaks just before taking them off the grill.  the salty/sweet combination really enhances the flavors of the beef without being overpowering.  i prefer ribeyes or t-bones, but this is good on any grilled beef.","['steaks', 'soy sauce', 'honey', 'salt', 'coarse black pepper']",5,10,9
grandma geldner s german nut stollen,205807,200,"[269.4, 20.0, 18.0, 3.0, 12.0, 27.0, 10.0]",14,"['in a large bowl , mix 3 cups flour , yeast , salt and sugar well', 'in a saucepan , heat milk , vanilla , and 1 / 2 cup butter slightly until butter melts', 'cool with an ice cube', 'add milk mixture to flour mixture and mix by hand for 2 minutes', 'add 1 / 2 c flour and eggs and mix until well blended', 'stir in remaining 3 / 4 c flour and hand mix until dough is smooth', 'cover and refrigerate for 1 hour', 'roll out dough into two oblong shapes and spread 1 tbsp melted butter on each piece', 'sprinkle cinnamon and spread nuts onto both pieces of dough , to 1 / 2"" from the edge', 'roll up jelly roll fashion along the long side of the dough , and crimp ends shut', 'seal ends and opening along dough with wet fingers , so that dough does not open up during baking', 'place both on an ungreased cookie sheet , and allow to rise uncovered in a warm place until double in bulk , 1 to 1 1 / 2 hours', 'bake in a preheated 350 f oven for 20 minutes , until light golden brown', 'allow to cool and frost with desired frosting']","my grandma used to make this often, but now she is getting too old (90 last oct.)  this has no candied fruit in it, just good old nuts and you can frost if desired.","['white flour', 'active dry yeast', 'salt', 'sugar', 'milk', 'vanilla', 'unsalted butter', 'eggs', 'walnuts', 'ground cinnamon']",10,2,8
tomato and herbed ricotta salata salad,189478,15,"[115.7, 14.0, 20.0, 0.0, 3.0, 6.0, 2.0]",10,"['crumble the cheese into a bowl', 'add the basil , chives , mint , oregano and thyme', 'mix until the herbs coat the crumbled cheese', 'arrange the large tomatoes on a serving platter , overlapping the slices slightly', 'scatter the cherry tomatoes on top', 'season with salt', 'whisk together the olive oil and vinegar', 'season to taste with salt and pepper', 'drizzle the vinaigrette over the tomatoes and let sit for 10 minutes', 'to serve , scatter the cheese over the tomatoes and garnish with basil , mint , oregano and thyme sprigs']","one of two runner-up recipes for 2002 in the san francisco chronicle, from joanne weir.","['ricotta salata', 'fresh basil', 'fresh chives', 'of fresh mint', 'fresh oregano', 'fresh thyme', 'tomatoes', 'cherry tomatoes', 'coarse salt', 'fresh ground black pepper', 'extra virgin olive oil', 'balsamic vinegar']",12,1,10
not yo  mama s italian style pork chops,86711,225,"[514.7, 38.0, 47.0, 30.0, 92.0, 35.0, 8.0]",7,"['brown chops in oil in a skillet', 'place chops in the bottom of the crockpot', 'cover chops with peppers , onions , and artichoke hearts', 'stir together remaining ingredients in a small bowl', 'pour mixture over vegetables in the crockpot', 'cover crockpot and cook on high for 3-3 1 / 2 hours on high or on low for 5-8 hours or until pork chops are just cooked through and tender', 'serve with cooked noodles , rice , or crusty italian bread , if desired']","just a little something i threw together in the crockpot. goes nicely over cooked noodles or rice, or even better- with a nice loaf of crusty italian bread to soak up the sauce. some nice chianti wine would be excellent with this!","['olive oil', 'pork chops', 'green bell pepper', 'yellow onion', 'artichoke hearts', 'tomato sauce', 'italian seasoning', 'garlic', 'crushed red pepper flakes', 'balsamic vinegar', 'brown sugar', 'salt', 'fresh ground black pepper']",13,2,13
banana   chocolate chip ice cream,220248,195,"[207.8, 12.0, 89.0, 1.0, 9.0, 25.0, 11.0]",4,"['pour evaporated milk into a loaf pan , cover with foil & freeze until just firm', 'process evaporated milk , bananas , yoghurt , milk maple syrup & essence until thick & creamy', 'pour mixture into a 15cm x 25cm loaf pan , cover & freeze until just firm', 'repeat processing , stir in chocolate or carob , cover & freeze until firm']","this is a nice way to use up overripe bananas and have a fairly healthy treat ready for the kids. it has no sugar & is low fat. diabetics should substitute carob for the chocolate buttons.
keeps for about 1 week. (cooking time is freezing time)","['low-fat evaporated milk', 'mashed banana', 'low-fat yogurt', 'low-fat milk', 'maple syrup', 'vanilla essence', 'chocolate']",7,9,23
stir fried coconut noodles,149821,45,"[1070.3, 87.0, 10.0, 12.0, 72.0, 145.0, 34.0]",18,"['if using rice noodles , place them in a bowl and cover them with very hot water', 'soak them until read to add to the stir fry in step 4', 'if using linguine , bring a large pot of water to a boil , salt it , and cook paste until it is nearly but not quite done', 'drain , and rinse in cold water', 'meanwhile , place 1 tablespoon of the oil in a large skillet or wok', 'turn heat to high', 'a minute later , add meat , and cook , stirring occasionally , until browned , about 5 minutes', 'remove with slotted spoon', 'set aside', 'add another tablespoon of oil to the skilled , followed by the bell pepper and eggplant', 'cook over medium-high heat , stirring occasionally , until both are browned and tender , about 10 minutes', 'remove with slotted spoon , and combine with meat', 'add remaining tablespoon of oil , followed immediately by the garlic and about 30 seconds later , the coconut milk', 'if desired , add curry paste at ths point', 'cook over medium-high heat , stirring and scraping with a wooden spoon , for about 1 minute', 'add drained noodles along with meat and vegetables , and cook until noodles absorb most of the coconut milk , about 3 minutes', 'season with nam pla to taste , then add plenty of black pepper', 'garnish with cilantro , and serve']","here is a delicious, easy one-dish meal.  the flavors in the dish are amazing--you'll be transported to southeast asia.  the less common ingredients should be available in the asian section of the supermarket.  if you like some heat, add some red or green curry paste.  this dish tastes best the first day.","['rice noodles', 'canola oil', 'ground pork', 'red bell pepper', 'eggplant', 'garlic', 'unsweetened coconut milk', 'green curry paste', 'nam pla', 'fresh ground black pepper', 'fresh cilantro']",11,8,7
ww 6 pts   grilled flank steak w pineapple and roasted shallots,250334,25,"[266.6, 17.0, 33.0, 7.0, 50.0, 20.0, 5.0]",13,"['combine pineapple juice , onion , lime , cilantro , chili powder , soy sauce , vinegar , garlic , oil , jalapeno , and pepper sauce in zip-lock bag', 'add the steak to the bag , squeeze out air , and seal', 'turn to coat', 'refridgerate 2 hrs to overnight', 'spray grill rack with nonstick spray', 'remove steak from marinade , scraping off any excess', 'grill 5 inches from heat about 5 minute per side or until done', 'let stand 10 minute', 'meanwhile , transfer marinade to saucepan and bring to a boil', 'add broth and simmer 5 minute', 'take sauce and add more lime juice , pepper sauce , or cilantro to taste', 'slice steak thinly on an angle across the grain', 'serve , topped with sauce and sprinkled with shallots']",from ww great cooking everyday. needs to marinade 2 hrs to overnight.,"['fresh pineapple', 'unsweetened pineapple juice', 'red onion', 'fresh cilantro', 'chili powder', 'reduced sodium soy sauce', 'red wine vinegar', 'garlic cloves', 'olive oil', 'jalapenos', 'hot pepper sauce', 'flank steaks', 'reduced-sodium beef broth', 'shallots']",14,7,5
frank s chicken wings,37247,30,"[634.7, 75.0, 3.0, 49.0, 86.0, 90.0, 1.0]",6,"['cut chicken wings at joints', 'deep fry chicken for about 5 minutes', 'remove from oil and drain', 'immediately , coat chicken in the following ingredients which are combined in a bowl: hot sauce , lemon juice , and butter', 'in a serving dish , combine sour cream , dill , and parsley for dipping', 'place wings on a platter with dipping sauce beside it']","these chicken wings are delicious. you can adjust the amount of 'zing' for the sauce by reducing or increasing the amount of hot sauce. if you don't like it hot, you can subtitute bbq sauce, a ketchup and soy sauce mixture, honey and garlic, or whatever you'd like!","['chicken wings', 'hot sauce', 'lemon juice', 'unsalted butter', 'low-fat sour cream', 'dill', 'fresh parsley', 'green onions']",8,3,18
six onion soup,41286,70,"[336.6, 37.0, 29.0, 10.0, 13.0, 72.0, 8.0]",10,"['melt the butter in a pot', 'add the onions , leeks , shallots and garlic and cook , covered , over low heat until vegetables are tender and lightly colored , about 25 minutes', 'add the stock , thyme and bay leaf , and season to taste with salt and pepper', 'bring to a boil , reduce heat , and cook , partially covered , for 20 minutes', 'pour the soup through a strainer set over a bowl , transfer the solids and 1 cup of the liquid to the bowl of a food processor fitted with a steel blade , and puree', 'return the puree and remaining 3 cups of liquid to the pot and set over medium heat', 'whisk in the heavy cream and bring to a simmer', 'add the scallions and simmer for another 5 minutes , or until they are tender', 'ladle into heated bowls and garnish with croutons of toasted french bread and snipped fresh chives', 'enjoy !']",the taste of onions is superb in this rich and creamy soup! float the toasted french bread on top with a sprinkling of chives. fit for a king!,"['sweet butter', 'yellow onions', 'leeks', 'shallot', 'garlic', 'chicken stock', 'dried thyme', 'bay leaf', 'salt & freshly ground black pepper', 'heavy cream', 'scallions', 'crouton', 'fresh chives']",13,3,27
balsamic glazed fruit  michael chiarello,215084,370,"[234.4, 9.0, 148.0, 2.0, 1.0, 18.0, 15.0]",13,"['preheat oven to 250 degrees', 'peel and core apples and pears , cut each into 8 wedges', 'place in large bowl and toss with 2 t', 'lemon juice', 'melt butter over medium heat in skillet until it stops foaming and is slightly brown', 'add rosemary , bay leaves , remaining 3 t', 'lemon juice , balsamic vinegar , and brown sugar', 'heat to boiling and reduce slightly', 'pour over fruit and toss to coat', 'pour into roasting pan or onto a cookie sheet with sides', 'bake for 3-8 hours , turning each hour', 'fruit should be slightly dried , but not dried to the extent of fruit leather', 'store tightly covered in refrigerator for up to one week']",saw this on foodtv's easy entertaining with michael chiarello.  holy cow is this stuff good.  i didn't see it posted here yet - hope i didn't overlook it.  i tweaked this very slightly (adjusted amounts of fruit) to my own taste.,"['apples', 'pears', 'fresh rosemary', 'bay leaves', 'fresh lemon juice', 'balsamic vinegar', 'brown sugar', 'butter']",8,4,24
pork steaks with peppers,7005,0,"[482.6, 44.0, 5.0, 40.0, 89.0, 51.0, 2.0]",6,"['in large skillet , heat oil and brown steaks over medium-high heat', 'remove steaks', 'reduce heat to medium , into skillet , add peppers and garlic and cook 5 minutes or until peppers are crisp tender', 'stir in tomato , then onion soup mix blended with water , thyme and pepper', 'bring to a boil', 'return steaks to skillet and simmer , uncovered , stirring sauce occasionally 25 minutes or until steaks and vegetables are tender']",this is one of the zaar recipes that i adopted.  i hope to prepare this one soon and will post any modifications that i make to the recipe.,"['green olives', 'pork blade steaks', 'pepper', 'garlic', 'tomatoes', 'onion soup mix', 'water', 'thyme leaves']",8,5,22
thai casserole chicken with peas and browned potatoes,150103,80,"[220.7, 16.0, 11.0, 10.0, 32.0, 29.0, 5.0]",11,"['on medium high , heat 1 / 2 taplespoon oil in a non stick fry pan - a stove top wok works really well for this - and quickly brown chicken thighs until golden and caramelized', 'remove them to a sprayed casserole', 'in the same pan heat another 1 / 2 tablespoon oil and brown the diced potatoes until golden and caramelized - they do not have to be cooked through the important thing is that they are nicely browned', 'add them to the casserole', 'again - in the same pan - heat the remaining one half tablespoon of oil and caramelize the onion and garlic', 'lower the heat and add the curry paste , brown sugar , ginger , lime juice and fish sauce', 'stir in the coconut milk and cilantro', 'pour over the chicken and potatoes , cover with the lid and bake in a 300 degree f preheated oven for one hour', 'check and stir after first 30 minutes', 'remove casserole from oven and stir in the frozen peas - do not cook further , the peas will be nice and tender crisp', 'cool to room temperature and serve on basmati rice the next day']","make this ahead of time and refrigerate before you need to serve it - the flavour will only improve!

fat reducing tip: mix together one 400ml can lite coconut milk and one 400ml regular fat coconut milk. this will greatly reduce the fat content without sacrificing the rich coconut flavour. use one canful of this mixture for this recipe and freeze the rest for later use.

caramelizing the chicken, potatoes and onions gives a wonderful flavour to this curry so don't be tempted to skip these steps!","['peanut oil', 'boneless skinless chicken thighs', 'potatoes', 'onion', 'garlic cloves', 'green curry paste', 'brown sugar', 'fresh ginger', 'lime juice', 'fish sauce', 'light coconut milk', 'coconut milk', 'dried cilantro', 'frozen peas']",14,10,12
honeyed chicken,72155,60,"[302.4, 19.0, 70.0, 5.0, 56.0, 17.0, 6.0]",7,"['arrange chicken pieces in a 15x10x1-inch baking pan making sure pieces do not touch', 'bake in a 400 degree f oven for 30 minutes', 'meanwhile , combine green onion , honey , garlic powder , and ground red pepper', 'brush chicken pieces with honey mixture', 'return to oven', 'bake for 15 to 20 minutes more or until golden brown and chicken is no longer pink', 'makes 4 servings']",this is a very simply recipe that requires very little effort. i found it in better homes and gardens.,"['chicken drumsticks', 'green onion', 'honey', 'garlic powder', 'ground red pepper']",5,6,17
great pork chops bake,174943,65,"[417.4, 30.0, 17.0, 30.0, 53.0, 30.0, 11.0]",10,"['in a skillet , brown pork chops in oil', 'transfer to a greased 13-in', 'x 9-in', 'x 2-in', 'baking dish', 'in a bowl , combine the soup , ketchup , worcestershire sauce , salt and pepper', 'add potatoes and onion', 'toss to coat', 'pour over the chops', 'cover and bake at 350 for 55-60 minutes or until meat juices run clear and potatoes are tender']",from quick cooking.,"['pork chops', 'vegetable oil', 'cream of chicken soup', 'ketchup', 'worcestershire sauce', 'salt', 'pepper', 'potatoes', 'onion']",9,2,14
syrian salad,134238,15,"[142.7, 16.0, 19.0, 11.0, 7.0, 14.0, 3.0]",4,"['rinse the romaine , tear it into bite-sized pieces , and place it in a salad bowl', 'arrange the other vegetables attractively over the romaine , topping with the feta , parsley , olives , and capers', 'combine the salad dressing ingredients', 'drizzle the dressing over the salad']",from sundays at the moosewood restaurant.,"['romaine lettuce', 'cucumber', 'radishes', 'red bell pepper', 'green bell pepper', 'tomatoes', 'scallions', 'red onion', 'feta cheese', 'fresh parsley', 'black olives', 'capers', 'olive oil', 'lemon, juice of', 'wine vinegar', 'garlic clove', 'salt & freshly ground black pepper', 'dried mint']",18,8,11
wonderful applesauce spice cake,118655,50,"[430.7, 24.0, 179.0, 19.0, 11.0, 15.0, 23.0]",11,"['set oven to 350f', 'grease a 13 x 9-inch baking pan', 'in a medium bowl sift together flour , baking soda , baking powder , salt and spices', 'in a large bowl cream together the shortening and brown sugar and white sugar together until light and fluffy', 'add in the eggs to the creamed mixture , beating well after each addition', 'add in the dry ingredients alternately with the applesauce and water', 'stir in raisins and nuts', 'pour into prepared baking pan', 'bake for 40-45 minutes , or until cake tests done', ""cool , dust with confectioners' sugar or serve topped with whipped cream"", 'delicious !']","there are many different recipes for applesauce cake this one has remained a favorite,  it's a  really moist cake with tons of flavor, there is really no need for frosting  just top with a couple of tablespoons of whipped cream or cool whip topping --- if you are using sweetened applesauce i suggest to maybe cut down the sugar slightly unless you prefer a sweeter cake --- i think you will really enjoy this cake!","['all-purpose flour', 'baking soda', 'baking powder', 'salt', 'cinnamon', 'nutmeg', 'clove', 'allspice', 'crisco shortening', 'brown sugar', 'white sugar', 'eggs', 'unsweetened applesauce', 'water', 'raisins', 'walnuts', ""confectioners' sugar""]",17,1,3
chicken stew with tomatoes and lima beans,145673,75,"[396.3, 18.0, 60.0, 32.0, 23.0, 8.0, 22.0]",15,"['heat oil in a large heavy skillet over high heat', 'season the chicken pieces with seasoning salt and pepper on both sides', 'add the chicken to the skillet and saute until browned , turning to brown on both sides adding in more oil if needed', 'transfer the chicken to a plate ot platter', 'pour off some of the fat , but leave some in the pot', 'add in onions , garlic , green bell pepper , thyme and red pepper flakes', 'saute until tender', 'return the chicken to the skillet', 'add in tomatoes , corn and lima beans', 'simmer about 30 minutes', 'remove the chicken and transfer to a platter , and cover loosley with foil to keep warm', 'add in the cubed potatoes and boil until the liquid is reduced slightly and the potatoes are tender', 'season with salt and pepper', 'spoon the sauce over the chicken on the platter', 'sprinkle with grated parmesan cheese if desired']","this is easy to make, and really tasty... serve with cooked rice. i make this on my electric skillet, if you have one, then use it for this.","['vegetable oil', 'chicken pieces', 'seasoning salt', 'pepper', 'onion', 'fresh garlic', 'dried thyme', 'crushed red pepper flakes', 'green bell pepper', 'stewed tomatoes', 'russet potatoes', 'canned corn niblets', 'frozen lima beans', 'salt and pepper', 'parmesan cheese']",15,6,17
maple meringues,172756,75,"[32.2, 0.0, 30.0, 0.0, 1.0, 0.0, 2.0]",8,"['preheat the oven to 300 degrees f', 'line cookie sheets with parchment paper', 'in a large glass or metal bowl , whip egg whites with cream of tartar until foamy', 'gradually add white sugar and confectioners sugar 1 tablespoon at a time while continuing to whip to stiff glossy peaks', 'mix in the maple extract', 'spoon meringue onto the prepared cookie sheets in 1 inch circles', 'place in the preheated oven , and immediately reduce the temperature to 250 degrees f', 'bake for 50 to 60 minutes , until cookies are dry and easy to remove from the paper']",posted for zwt'06 for canada.,"['egg whites', 'cream of tartar', 'granulated sugar', ""confectioners' sugar"", 'maple extract']",5,2,5
julie s chicken enchilada casserole,28289,45,"[1137.3, 100.0, 18.0, 87.0, 118.0, 169.0, 26.0]",8,"['preheat oven to 350 degrees', 'mix together all the filling ingredients', 'layer the bottom of a 9x13 inch baking dish with 1 / 3 of the tortilla strips', 'top with 1 / 3 chicken filling and 1 / 3 cheddar cheese', 'repeat layering with remaining ingredients', 'then for the topping: pour can of enchilada sauce over all and sprinkle with grated monterey jack cheese', 'bake for 30 minutes then let stand about 10 minutes', 'enjoy !']","i love enchilda casserole, and here's my favorite!","['chicken breasts', 'white beans', 'sour cream', 'rotel tomatoes', 'mild green chilies', 'cream of chicken soup', 'onion', 'monterey jack cheese', 'garlic powder', 'chili powder', 'cumin', 'cheddar cheese', '12-inch flour tortillas', 'enchilada sauce']",14,2,17
